cluster_id,genes,gene_list,size,species_count
Cluster1404,orf19.2808,['orf19.2808'],1,1
Cluster1405,orf19.7371,['orf19.7371'],1,1
Cluster1406,CAGL0I09636g,['CAGL0I09636g'],1,1
Cluster1407,orf19.5383 gene-YGL008C CAGL0A00495g gene:KLLA0_A09031g,"['orf19.5383', 'gene-YGL008C', 'CAGL0A00495g', 'gene:KLLA0_A09031g']",4,4
Cluster1408,CAGL0J02354g,['CAGL0J02354g'],1,1
Cluster1409,gene-YHR157W,['gene-YHR157W'],1,1
Cluster1410,orf19.3242 gene:KLLA0_D17204g gene-YDR167W CAGL0E00935g,"['orf19.3242', 'gene:KLLA0_D17204g', 'gene-YDR167W', 'CAGL0E00935g']",4,4
Cluster1411,gene-YDR215C,['gene-YDR215C'],1,1
Cluster1412,gene-YEL008W,['gene-YEL008W'],1,1
Cluster1413,gene-YBR050C,['gene-YBR050C'],1,1
Cluster1414,gene-YCL042W,['gene-YCL042W'],1,1
Cluster1415,CAGL0B03223g,['CAGL0B03223g'],1,1
Cluster1416,gene-YBR036C CAGL0I04774g,"['gene-YBR036C', 'CAGL0I04774g']",2,2
Cluster1417,gene:KLLA0_E02465g,['gene:KLLA0_E02465g'],1,1
Cluster1418,CAGL0K07678g,['CAGL0K07678g'],1,1
Cluster1419,orf19.4245 gene-YBR129C CAGL0C00605g gene:KLLA0_D09064g,"['orf19.4245', 'gene-YBR129C', 'CAGL0C00605g', 'gene:KLLA0_D09064g']",4,4
Cluster1420,RDN25 gene:KLLA0_D17864g gene-YNCL0010C,"['RDN25', 'gene:KLLA0_D17864g', 'gene-YNCL0010C']",3,2
Cluster1421,orf19.386 gene:KLLA0_D01551g gene-YPL273W,"['orf19.386', 'gene:KLLA0_D01551g', 'gene-YPL273W']",3,3
Cluster1422,CAGL0L13486r gene:KLLA0_D17732g RDN18,"['CAGL0L13486r', 'gene:KLLA0_D17732g', 'RDN18']",3,2
Cluster1423,orf19.6834.10 gene-YLR154W-C,"['orf19.6834.10', 'gene-YLR154W-C']",2,2
Cluster1424,gene:KLLA0_E23959g,['gene:KLLA0_E23959g'],1,1
Cluster1425,orf19.5617 gene:KLLA0_E18811g gene-YPL181W CAGL0C01485g,"['orf19.5617', 'gene:KLLA0_E18811g', 'gene-YPL181W', 'CAGL0C01485g']",4,4
Cluster1426,CAGL0M10285g gene-YKL005C orf19.4278,"['CAGL0M10285g', 'gene-YKL005C', 'orf19.4278']",3,3
Cluster1427,gene-YNL097C CAGL0G06556g gene:KLLA0_C13409g orf19.1759,"['gene-YNL097C', 'CAGL0G06556g', 'gene:KLLA0_C13409g', 'orf19.1759']",4,4
Cluster1428,orf19.3625 CAGL0L10384g gene-YOR064C gene:KLLA0_F16533g,"['orf19.3625', 'CAGL0L10384g', 'gene-YOR064C', 'gene:KLLA0_F16533g']",4,4
Cluster1429,orf19.878 CAGL0H02035g gene-YHR090C gene:KLLA0_A06974g,"['orf19.878', 'CAGL0H02035g', 'gene-YHR090C', 'gene:KLLA0_A06974g']",4,4
Cluster1430,orf19.2476 gene:KLLA0_C16203g gene-YMR176W,"['orf19.2476', 'gene:KLLA0_C16203g', 'gene-YMR176W']",3,3
Cluster1431,orf19.3018 gene-YPL138C CAGL0M02585g gene:KLLA0_D07260g,"['orf19.3018', 'gene-YPL138C', 'CAGL0M02585g', 'gene:KLLA0_D07260g']",4,4
Cluster1432,orf19.7221 gene:KLLA0_F02882g CAGL0L03091g gene-YKR029C,"['orf19.7221', 'gene:KLLA0_F02882g', 'CAGL0L03091g', 'gene-YKR029C']",4,4
Cluster1433,orf19.4240 gene:KLLA0_C02101g CAGL0M11880g gene-YCR044C,"['orf19.4240', 'gene:KLLA0_C02101g', 'CAGL0M11880g', 'gene-YCR044C']",4,4
Cluster1434,orf19.555 orf19.654 gene-YKL163W gene:KLLA0_B07447g CAGL0M08514g gene-YJL160C,"['orf19.555', 'orf19.654', 'gene-YKL163W', 'gene:KLLA0_B07447g', 'CAGL0M08514g', 'gene-YJL160C']",6,4
Cluster1435,gene-YLR204W,['gene-YLR204W'],1,1
Cluster1436,CaglfMt16,['CaglfMt16'],1,0
Cluster1437,orf19.6680 orf19.4568 gene:KLLA0_E13993g,"['orf19.6680', 'orf19.4568', 'gene:KLLA0_E13993g']",3,2
Cluster1438,gene-YHR056C CAGL0D03850g gene:KLLA0_C18953g orf19.4573,"['gene-YHR056C', 'CAGL0D03850g', 'gene:KLLA0_C18953g', 'orf19.4573']",4,4
Cluster1439,gene-YNL119W CAGL0L04026g gene:KLLA0_F24002g orf19.4399,"['gene-YNL119W', 'CAGL0L04026g', 'gene:KLLA0_F24002g', 'orf19.4399']",4,4
Cluster1440,orf19.2172 gene:KLLA0_F02728g gene-YBR149W,"['orf19.2172', 'gene:KLLA0_F02728g', 'gene-YBR149W']",3,3
Cluster1441,CAGL0H06468r,['CAGL0H06468r'],1,1
Cluster1442,gene-YML079W gene:KLLA0_B04521g,"['gene-YML079W', 'gene:KLLA0_B04521g']",2,2
Cluster1443,orf19.6018 gene:KLLA0_F06380g gene-YNR008W CAGL0I05786g,"['orf19.6018', 'gene:KLLA0_F06380g', 'gene-YNR008W', 'CAGL0I05786g']",4,4
Cluster1444,gene:KLLA0_F04609g gene-YIL130W CAGL0G08844g CAGL0F02519g gene-YJL206C gene:KLLA0_C03201g orf19.166,"['gene:KLLA0_F04609g', 'gene-YIL130W', 'CAGL0G08844g', 'CAGL0F02519g', 'gene-YJL206C', 'gene:KLLA0_C03201g', 'orf19.166']",7,4
Cluster1445,orf19.7374 gene:KLLA0_F22880g,"['orf19.7374', 'gene:KLLA0_F22880g']",2,2
Cluster1446,CAGL0K05841g gene:KLLA0_F22990g gene-YLR256W CAGL0B03421g orf19.6182,"['CAGL0K05841g', 'gene:KLLA0_F22990g', 'gene-YLR256W', 'CAGL0B03421g', 'orf19.6182']",5,4
Cluster1447,orf19.6758 orf19.6757 gene:KLLA0_B14707g CAGL0A02816g gene-YDR368W gene-YOR120W CAGL0I01100g gene:KLLA0_D10109g,"['orf19.6758', 'orf19.6757', 'gene:KLLA0_B14707g', 'CAGL0A02816g', 'gene-YDR368W', 'gene-YOR120W', 'CAGL0I01100g', 'gene:KLLA0_D10109g']",8,4
Cluster1448,gene-YGL252C CAGL0A04785g gene:KLLA0_D11484g,"['gene-YGL252C', 'CAGL0A04785g', 'gene:KLLA0_D11484g']",3,3
Cluster1449,CAGL0M12529r,['CAGL0M12529r'],1,1
Cluster1450,orf19.836,['orf19.836'],1,1
Cluster1451,gene-YLR410W-A,['gene-YLR410W-A'],1,1
Cluster1452,gene:KLLA0_E12937g,['gene:KLLA0_E12937g'],1,1
Cluster1453,CAGL0I04125g,['CAGL0I04125g'],1,1
Cluster1454,orf19.4914.1,['orf19.4914.1'],1,1
Cluster1455,CAGL0M06897g gene-YNL024C gene:KLLA0_E08295g,"['CAGL0M06897g', 'gene-YNL024C', 'gene:KLLA0_E08295g']",3,3
Cluster1456,CAGL0H01749g,['CAGL0H01749g'],1,1
Cluster1457,orf19.1953,['orf19.1953'],1,1
Cluster1458,orf19.1958,['orf19.1958'],1,1
Cluster1459,gene:KLLA0_D12650g orf19.1822,"['gene:KLLA0_D12650g', 'orf19.1822']",2,2
Cluster1460,orf19.5474,['orf19.5474'],1,1
Cluster1461,gene:KLLA0_F00572g orf19.4251,"['gene:KLLA0_F00572g', 'orf19.4251']",2,2
Cluster1462,gene-YPR053C,['gene-YPR053C'],1,1
Cluster1463,gene:KLLA0_A09119g gene-YBL005W orf19.4767,"['gene:KLLA0_A09119g', 'gene-YBL005W', 'orf19.4767']",3,3
Cluster1464,gene-YIL012W,['gene-YIL012W'],1,1
Cluster1465,orf19.316 CAGL0J08778g gene-YLR208W gene:KLLA0_C16643g,"['orf19.316', 'CAGL0J08778g', 'gene-YLR208W', 'gene:KLLA0_C16643g']",4,4
Cluster1466,orf19.268 gene-YDR030C CAGL0K11836g,"['orf19.268', 'gene-YDR030C', 'CAGL0K11836g']",3,3
Cluster1467,gene:KLLA0_F12276g CAGL0H03619g gene-YNL011C orf19.6905,"['gene:KLLA0_F12276g', 'CAGL0H03619g', 'gene-YNL011C', 'orf19.6905']",4,4
Cluster1468,orf19.4778 gene:KLLA0_F04213g CAGL0K11902g gene-YDR034C,"['orf19.4778', 'gene:KLLA0_F04213g', 'CAGL0K11902g', 'gene-YDR034C']",4,4
Cluster1469,gene:KLLA0_A08800g CAGL0G00704g gene-YAR003W orf19.5388,"['gene:KLLA0_A08800g', 'CAGL0G00704g', 'gene-YAR003W', 'orf19.5388']",4,4
Cluster1470,gene-YEL057C,['gene-YEL057C'],1,1
Cluster1471,CAGL0M06875g gene-YNL025C orf19.7355,"['CAGL0M06875g', 'gene-YNL025C', 'orf19.7355']",3,3
Cluster1472,orf19.109 CAGL0H05775g gene-YPL097W gene:KLLA0_E24267g,"['orf19.109', 'CAGL0H05775g', 'gene-YPL097W', 'gene:KLLA0_E24267g']",4,4
Cluster1473,gene:KLLA0_F16621g gene-YOR067C CAGL0L10450g orf19.1659,"['gene:KLLA0_F16621g', 'gene-YOR067C', 'CAGL0L10450g', 'orf19.1659']",4,4
Cluster1474,CAGL0L00205g,['CAGL0L00205g'],1,1
Cluster1475,gene-YJL199C,['gene-YJL199C'],1,1
Cluster1476,orf19.2745 gene:KLLA0_F20680g CAGL0F05357g gene-YDR207C,"['orf19.2745', 'gene:KLLA0_F20680g', 'CAGL0F05357g', 'gene-YDR207C']",4,4
Cluster1477,orf19.1553,['orf19.1553'],1,1
Cluster1478,gene:KLLA0_C16489g orf19.1168,"['gene:KLLA0_C16489g', 'orf19.1168']",2,2
Cluster1479,gene:KLLA0_D16654g gene-YDR153C CAGL0E01199g,"['gene:KLLA0_D16654g', 'gene-YDR153C', 'CAGL0E01199g']",3,3
Cluster1480,gene-YBR240C gene:KLLA0_F10373g orf19.7381,"['gene-YBR240C', 'gene:KLLA0_F10373g', 'orf19.7381']",3,3
Cluster1481,gene:KLLA0_D03949g gene-YLL038C CAGL0E03806g,"['gene:KLLA0_D03949g', 'gene-YLL038C', 'CAGL0E03806g']",3,3
Cluster1482,gene-YML118W CAGL0B02387g,"['gene-YML118W', 'CAGL0B02387g']",2,2
Cluster1483,gene-YOL042W CAGL0F01001g gene:KLLA0_F07733g,"['gene-YOL042W', 'CAGL0F01001g', 'gene:KLLA0_F07733g']",3,3
Cluster1484,orf19.5295,['orf19.5295'],1,1
Cluster1485,CAGL0K04719g,['CAGL0K04719g'],1,1
Cluster1486,orf19.5572,['orf19.5572'],1,1
Cluster1487,orf19.6601,['orf19.6601'],1,1
Cluster1488,orf19.2311,['orf19.2311'],1,1
Cluster1489,orf19.4062,['orf19.4062'],1,1
Cluster1490,orf19.4069,['orf19.4069'],1,1
Cluster1491,gene-YNCD0005C,['gene-YNCD0005C'],1,1
Cluster1492,CAGL0G04301r gene-YNCB0007W,"['CAGL0G04301r', 'gene-YNCB0007W']",2,2
Cluster1493,gene-YOL161C,['gene-YOL161C'],1,1
Cluster1494,tI(AAU)4 CAGL0L06380r,"['tI(AAU)4', 'CAGL0L06380r']",2,1
Cluster1495,gene:KLLA0_D08305g CAGL0J11220g gene-YNL178W orf19.6312,"['gene:KLLA0_D08305g', 'CAGL0J11220g', 'gene-YNL178W', 'orf19.6312']",4,4
Cluster1496,orf19.4068,['orf19.4068'],1,1
Cluster1497,orf19.4067,['orf19.4067'],1,1
Cluster1498,orf19.4066,['orf19.4066'],1,1
Cluster1499,gene:KLLA0_F23485g,['gene:KLLA0_F23485g'],1,1
Cluster1500,gene-YAR029W,['gene-YAR029W'],1,1
Cluster1501,gene-YNCN0001W,['gene-YNCN0001W'],1,1
Cluster1502,gene-YAR066W,['gene-YAR066W'],1,1
Cluster1503,gene-YNCG0010W,['gene-YNCG0010W'],1,1
Cluster1504,gene:KLLA0_A04521g,['gene:KLLA0_A04521g'],1,1
Cluster1505,gene-YGL053W,['gene-YGL053W'],1,1
Cluster1506,gene-YAR068W,['gene-YAR068W'],1,1
Cluster1507,orf19.5920,['orf19.5920'],1,1
Cluster1508,gene:KLLA0_A01782g CAGL0K07271g gene-YML006C,"['gene:KLLA0_A01782g', 'CAGL0K07271g', 'gene-YML006C']",3,3
Cluster1509,orf19.6246 gene:KLLA0_B11275g CAGL0D04796g gene-YPR131C,"['orf19.6246', 'gene:KLLA0_B11275g', 'CAGL0D04796g', 'gene-YPR131C']",4,4
Cluster1510,gene-Q0120,['gene-Q0120'],1,0
Cluster1511,gene:KLLA0_B13497g CAGL0K02739g gene-YHL003C,"['gene:KLLA0_B13497g', 'CAGL0K02739g', 'gene-YHL003C']",3,3
Cluster1512,CAGL0E01419g,['CAGL0E01419g'],1,1
Cluster1513,gene:KLLA0_C05610g,['gene:KLLA0_C05610g'],1,1
Cluster1514,CAGL0I04136g gene-YGL226W gene:KLLA0_A01297g,"['CAGL0I04136g', 'gene-YGL226W', 'gene:KLLA0_A01297g']",3,3
Cluster1515,tV(AAC)4,['tV(AAC)4'],1,0
Cluster1516,tV(AAC)5,['tV(AAC)5'],1,0
Cluster1517,gene:KLLA0_B13695g,['gene:KLLA0_B13695g'],1,1
Cluster1518,gene-YLR358C,['gene-YLR358C'],1,1
Cluster1519,snR50,['snR50'],1,0
Cluster1520,CAGL0C03806r gene-YNCM0033C,"['CAGL0C03806r', 'gene-YNCM0033C']",2,2
Cluster1521,snR46a,['snR46a'],1,0
Cluster1522,snR49a,['snR49a'],1,0
Cluster1523,snR48,['snR48'],1,0
Cluster1524,snR44d,['snR44d'],1,0
Cluster1525,orf19.6585 CAGL0M12232g gene-YAL046C gene:KLLA0_A03553g,"['orf19.6585', 'CAGL0M12232g', 'gene-YAL046C', 'gene:KLLA0_A03553g']",4,4
Cluster1526,orf19.2082,['orf19.2082'],1,1
Cluster1527,orf19.4122,['orf19.4122'],1,1
Cluster1528,orf19.5104 gene:KLLA0_B09174g CAGL0D01320g gene-YPR073C,"['orf19.5104', 'gene:KLLA0_B09174g', 'CAGL0D01320g', 'gene-YPR073C']",4,4
Cluster1529,gene:KLLA0_B06622g CAGL0I09064g gene-YFR028C orf19.4192,"['gene:KLLA0_B06622g', 'CAGL0I09064g', 'gene-YFR028C', 'orf19.4192']",4,4
Cluster1530,gene-YFL004W gene-YPL019C CAGL0F02145g gene:KLLA0_E12101g orf19.4381,"['gene-YFL004W', 'gene-YPL019C', 'CAGL0F02145g', 'gene:KLLA0_E12101g', 'orf19.4381']",5,4
Cluster1531,orf19.6132 gene-YBR262C CAGL0I09262g gene:KLLA0_F02079g,"['orf19.6132', 'gene-YBR262C', 'CAGL0I09262g', 'gene:KLLA0_F02079g']",4,4
Cluster1532,orf19.808 CAGL0H06347g gene-YAL013W gene:KLLA0_F07821g,"['orf19.808', 'CAGL0H06347g', 'gene-YAL013W', 'gene:KLLA0_F07821g']",4,4
Cluster1533,orf19.7665 gene:KLLA0_F13024g gene-YJL003W CAGL0D03102g,"['orf19.7665', 'gene:KLLA0_F13024g', 'gene-YJL003W', 'CAGL0D03102g']",4,4
Cluster1534,orf19.1237 gene:KLLA0_D11110g gene-YHR137W CAGL0G06028g,"['orf19.1237', 'gene:KLLA0_D11110g', 'gene-YHR137W', 'CAGL0G06028g']",4,4
Cluster1535,gene:KLLA0_E02509g gene-YOR126C CAGL0K10296g orf19.7667,"['gene:KLLA0_E02509g', 'gene-YOR126C', 'CAGL0K10296g', 'orf19.7667']",4,4
Cluster1536,orf19.7664 gene:KLLA0_F10219g gene-YCR087C-A CAGL0E00517g,"['orf19.7664', 'gene:KLLA0_F10219g', 'gene-YCR087C-A', 'CAGL0E00517g']",4,4
Cluster1537,CAGL0L05038g gene-YKL074C gene:KLLA0_F26433g orf19.5828,"['CAGL0L05038g', 'gene-YKL074C', 'gene:KLLA0_F26433g', 'orf19.5828']",4,4
Cluster1538,gene-YGL210W CAGL0K09394g gene:KLLA0_B00671g,"['gene-YGL210W', 'CAGL0K09394g', 'gene:KLLA0_B00671g']",3,3
Cluster1539,orf19.120,['orf19.120'],1,1
Cluster1540,gene-YKR003W gene:KLLA0_A02827g,"['gene-YKR003W', 'gene:KLLA0_A02827g']",2,2
Cluster1541,gene-YKR018C CAGL0G03245g gene:KLLA0_D02244g,"['gene-YKR018C', 'CAGL0G03245g', 'gene:KLLA0_D02244g']",3,3
Cluster1542,orf19.94,['orf19.94'],1,1
Cluster1543,orf19.3726,['orf19.3726'],1,1
Cluster1544,gene-YPL075W CAGL0H05379g gene:KLLA0_E23431g,"['gene-YPL075W', 'CAGL0H05379g', 'gene:KLLA0_E23431g']",3,3
Cluster1545,gene:KLLA0_A09977g gene-YBR139W CAGL0M13651g,"['gene:KLLA0_A09977g', 'gene-YBR139W', 'CAGL0M13651g']",3,3
Cluster1546,orf19.3713,['orf19.3713'],1,1
Cluster1547,orf19.3719,['orf19.3719'],1,1
Cluster1548,orf19.4216,['orf19.4216'],1,1
Cluster1549,orf19.5321 gene:KLLA0_D12188g gene-YPL023C CAGL0J09504g,"['orf19.5321', 'gene:KLLA0_D12188g', 'gene-YPL023C', 'CAGL0J09504g']",4,4
Cluster1550,CAGL0M11220g gene-YMR224C gene:KLLA0_C06930g orf19.6915,"['CAGL0M11220g', 'gene-YMR224C', 'gene:KLLA0_C06930g', 'orf19.6915']",4,4
Cluster1551,orf19.6220.3 gene-YER057C,"['orf19.6220.3', 'gene-YER057C']",2,2
Cluster1552,orf19.3721,['orf19.3721'],1,1
Cluster1553,CAGL0B03597g gene-YEL058W gene:KLLA0_D00858g orf19.5013,"['CAGL0B03597g', 'gene-YEL058W', 'gene:KLLA0_D00858g', 'orf19.5013']",4,4
Cluster1554,orf19.6155 CAGL0I03410g gene-YDL164C,"['orf19.6155', 'CAGL0I03410g', 'gene-YDL164C']",3,3
Cluster1555,gene-YBR140C CAGL0M09999g,"['gene-YBR140C', 'CAGL0M09999g']",2,2
Cluster1556,gene:KLLA0_D00330g,['gene:KLLA0_D00330g'],1,1
Cluster1557,gene:KLLA0_F04433g CAGL0J09922g gene-YNL066W gene-YIL123W CAGL0G08668g,"['gene:KLLA0_F04433g', 'CAGL0J09922g', 'gene-YNL066W', 'gene-YIL123W', 'CAGL0G08668g']",5,3
Cluster1558,orf19.7219,['orf19.7219'],1,1
Cluster1559,gene:KLLA0_E25081g,['gene:KLLA0_E25081g'],1,1
Cluster1560,gene:KLLA0_B03157g,['gene:KLLA0_B03157g'],1,1
Cluster1561,gene:KLLA0_B05225g gene-YML059C CAGL0L11154g orf19.6396,"['gene:KLLA0_B05225g', 'gene-YML059C', 'CAGL0L11154g', 'orf19.6396']",4,4
Cluster1562,orf19.4378 gene:KLLA0_E10055g gene-YDR075W CAGL0K10208g,"['orf19.4378', 'gene:KLLA0_E10055g', 'gene-YDR075W', 'CAGL0K10208g']",4,4
Cluster1563,gene:KLLA0_D03652g CAGL0K01331g gene-YDL047W orf19.5200,"['gene:KLLA0_D03652g', 'CAGL0K01331g', 'gene-YDL047W', 'orf19.5200']",4,4
Cluster1564,gene-YMR255W,['gene-YMR255W'],1,1
Cluster1565,gene-YNCJ0008W,['gene-YNCJ0008W'],1,1
Cluster1566,gene-YHR154W CAGL0I01958g,"['gene-YHR154W', 'CAGL0I01958g']",2,2
Cluster1567,orf19.1313,['orf19.1313'],1,1
Cluster1568,orf19.4733,['orf19.4733'],1,1
Cluster1569,gene-YOR011W CAGL0F01419g,"['gene-YOR011W', 'CAGL0F01419g']",2,2
Cluster1570,gene:KLLA0_F19371g gene:KLLA0_F19382g gene-YDR119W-A CAGL0B01875g,"['gene:KLLA0_F19371g', 'gene:KLLA0_F19382g', 'gene-YDR119W-A', 'CAGL0B01875g']",4,3
Cluster1571,orf19.2851,['orf19.2851'],1,1
Cluster1572,gene-YDR518W CAGL0H01727g,"['gene-YDR518W', 'CAGL0H01727g']",2,2
Cluster1573,CAGL0A02431g gene-YDR349C gene:KLLA0_F22088g,"['CAGL0A02431g', 'gene-YDR349C', 'gene:KLLA0_F22088g']",3,3
Cluster1574,orf19.603 gene-YNL075W CAGL0J10252g gene:KLLA0_E07833g,"['orf19.603', 'gene-YNL075W', 'CAGL0J10252g', 'gene:KLLA0_E07833g']",4,4
Cluster1575,gene:KLLA0_D09130g,['gene:KLLA0_D09130g'],1,1
Cluster1576,orf19.5092,['orf19.5092'],1,1
Cluster1577,orf19.2531,['orf19.2531'],1,1
Cluster1578,gene-YOR385W,['gene-YOR385W'],1,1
Cluster1579,orf19.3375,['orf19.3375'],1,1
Cluster1580,orf19.3374,['orf19.3374'],1,1
Cluster1581,orf19.4271,['orf19.4271'],1,1
Cluster1582,orf19.7487,['orf19.7487'],1,1
Cluster1583,gene-YCR039C gene:KLLA0_C00374g,"['gene-YCR039C', 'gene:KLLA0_C00374g']",2,2
Cluster1584,orf19.4873,['orf19.4873'],1,1
Cluster1585,orf19.3366.1,['orf19.3366.1'],1,1
Cluster1586,orf19.3368,['orf19.3368'],1,1
Cluster1587,gene:KLLA0_B02871g CAGL0M09867g gene-YLR408C,"['gene:KLLA0_B02871g', 'CAGL0M09867g', 'gene-YLR408C']",3,3
Cluster1588,gene-YDR113C gene:KLLA0_F19206g,"['gene-YDR113C', 'gene:KLLA0_F19206g']",2,2
Cluster1589,CAGL0L09603g gene-YIR010W gene:KLLA0_D15741g,"['CAGL0L09603g', 'gene-YIR010W', 'gene:KLLA0_D15741g']",3,3
Cluster1590,gene-YHR214C-C,['gene-YHR214C-C'],1,1
Cluster1591,gene-YLR227C gene:KLLA0_F13090g,"['gene-YLR227C', 'gene:KLLA0_F13090g']",2,2
Cluster1592,gene-YPR158W-B,['gene-YPR158W-B'],1,1
Cluster1593,CAGL0L09108g gene-YPR002W gene:KLLA0_E14213g,"['CAGL0L09108g', 'gene-YPR002W', 'gene:KLLA0_E14213g']",3,3
Cluster1594,CAGL0L04840g,['CAGL0L04840g'],1,1
Cluster1595,CAGL0L04836g,['CAGL0L04836g'],1,1
Cluster1596,CAGL0M03366g,['CAGL0M03366g'],1,1
Cluster1597,CAGL0K08162g gene-YKR067W gene:KLLA0_F16104g orf19.5815,"['CAGL0K08162g', 'gene-YKR067W', 'gene:KLLA0_F16104g', 'orf19.5815']",4,4
Cluster1598,orf19.4056 gene-YMR136W,"['orf19.4056', 'gene-YMR136W']",2,2
Cluster1599,gene:KLLA0_F17116g gene-YIR013C CAGL0I00902g orf19.1577,"['gene:KLLA0_F17116g', 'gene-YIR013C', 'CAGL0I00902g', 'orf19.1577']",4,4
Cluster1600,orf19.1150 CAGL0L06776g gene-YLR013W,"['orf19.1150', 'CAGL0L06776g', 'gene-YLR013W']",3,3
Cluster1601,gene:KLLA0_D03674g gene-YOL072W CAGL0I08063g orf19.5276,"['gene:KLLA0_D03674g', 'gene-YOL072W', 'CAGL0I08063g', 'orf19.5276']",4,4
Cluster1602,CaglfMp12 gene-Q0275 CaalfMp15,"['CaglfMp12', 'gene-Q0275', 'CaalfMp15']",3,0
Cluster1603,orf19.3409 gene-YCR067C CAGL0J03564g,"['orf19.3409', 'gene-YCR067C', 'CAGL0J03564g']",3,3
Cluster1604,gene-YBL011W CAGL0E02849g gene:KLLA0_B10538g orf19.1289,"['gene-YBL011W', 'CAGL0E02849g', 'gene:KLLA0_B10538g', 'orf19.1289']",4,4
Cluster1605,gene:KLLA0_F09757g gene-YPL021W gene-YCR018C CAGL0D03608g orf19.4869,"['gene:KLLA0_F09757g', 'gene-YPL021W', 'gene-YCR018C', 'CAGL0D03608g', 'orf19.4869']",5,4
Cluster1606,orf19.1275 gene:KLLA0_A01342g gene-YFL021W CAGL0K07634g,"['orf19.1275', 'gene:KLLA0_A01342g', 'gene-YFL021W', 'CAGL0K07634g']",4,4
Cluster1607,gene-YIL113W gene:KLLA0_F03597g,"['gene-YIL113W', 'gene:KLLA0_F03597g']",2,2
Cluster1608,gene-YLR238W CAGL0G08426g,"['gene-YLR238W', 'CAGL0G08426g']",2,2
Cluster1609,orf19.1980,['orf19.1980'],1,1
Cluster1610,orf19.1979,['orf19.1979'],1,1
Cluster1611,orf19.1978,['orf19.1978'],1,1
Cluster1612,orf19.5037,['orf19.5037'],1,1
Cluster1613,orf19.2404 CAGL0K05049g gene-YNL221C gene:KLLA0_D19448g,"['orf19.2404', 'CAGL0K05049g', 'gene-YNL221C', 'gene:KLLA0_D19448g']",4,4
Cluster1614,gene:KLLA0_F08393g gene-YDR009W gene-YBR020W orf19.3670,"['gene:KLLA0_F08393g', 'gene-YDR009W', 'gene-YBR020W', 'orf19.3670']",4,3
Cluster1615,orf19.2391 gene:KLLA0_F13882g gene-YKR023W CAGL0L03069g,"['orf19.2391', 'gene:KLLA0_F13882g', 'gene-YKR023W', 'CAGL0L03069g']",4,4
Cluster1616,orf19.2973 gene-YOR359W CAGL0K09922g gene:KLLA0_A03641g,"['orf19.2973', 'gene-YOR359W', 'CAGL0K09922g', 'gene:KLLA0_A03641g']",4,4
Cluster1617,gene:KLLA0_B13453g gene-YKL007W CAGL0K02783g orf19.3235,"['gene:KLLA0_B13453g', 'gene-YKL007W', 'CAGL0K02783g', 'orf19.3235']",4,4
Cluster1618,gene:KLLA0_D12474g CAGL0A03905g gene-YLR205C orf19.6073,"['gene:KLLA0_D12474g', 'CAGL0A03905g', 'gene-YLR205C', 'orf19.6073']",4,4
Cluster1619,orf19.6744 gene-YMR262W CAGL0H02365g gene:KLLA0_E11243g,"['orf19.6744', 'gene-YMR262W', 'CAGL0H02365g', 'gene:KLLA0_E11243g']",4,4
Cluster1620,orf19.1448 gene:KLLA0_B01309g CAGL0J10494g gene-YDR441C gene-YML022W CAGL0G07106g,"['orf19.1448', 'gene:KLLA0_B01309g', 'CAGL0J10494g', 'gene-YDR441C', 'gene-YML022W', 'CAGL0G07106g']",6,4
Cluster1621,CAGL0A03080g gene-YDR379C-A gene:KLLA0_E02619g orf19.4593.1,"['CAGL0A03080g', 'gene-YDR379C-A', 'gene:KLLA0_E02619g', 'orf19.4593.1']",4,4
Cluster1622,orf19.7425 CAGL0G07084g gene-YML021C gene:KLLA0_B01265g,"['orf19.7425', 'CAGL0G07084g', 'gene-YML021C', 'gene:KLLA0_B01265g']",4,4
Cluster1623,gene-YMR227C CAGL0M11264g gene:KLLA0_B08305g orf19.1574,"['gene-YMR227C', 'CAGL0M11264g', 'gene:KLLA0_B08305g', 'orf19.1574']",4,4
Cluster1624,gene:KLLA0_D00550g CAGL0M14113g gene-YOR192C CAGL0L13354g gene-YLR237W,"['gene:KLLA0_D00550g', 'CAGL0M14113g', 'gene-YOR192C', 'CAGL0L13354g', 'gene-YLR237W']",5,3
Cluster1625,orf19.3988,['orf19.3988'],1,1
Cluster1626,orf19.5012,['orf19.5012'],1,1
Cluster1627,orf19.4988,['orf19.4988'],1,1
Cluster1628,orf19.5019,['orf19.5019'],1,1
Cluster1629,orf19.1724,['orf19.1724'],1,1
Cluster1630,gene-YHL048W,['gene-YHL048W'],1,1
Cluster1631,gene:KLLA0_E00507g CAGL0E04004g gene-YHL036W orf19.321,"['gene:KLLA0_E00507g', 'CAGL0E04004g', 'gene-YHL036W', 'orf19.321']",4,4
Cluster1632,gene-YJL023C CAGL0G06820g gene:KLLA0_F14905g,"['gene-YJL023C', 'CAGL0G06820g', 'gene:KLLA0_F14905g']",3,3
Cluster1633,gene-YER079W,['gene-YER079W'],1,1
Cluster1634,gene:KLLA0_D08239g CAGL0J11176g gene-YDL211C,"['gene:KLLA0_D08239g', 'CAGL0J11176g', 'gene-YDL211C']",3,3
Cluster1635,CAGL0K01859g gene-YDL014W gene:KLLA0_C04389g orf19.3138,"['CAGL0K01859g', 'gene-YDL014W', 'gene:KLLA0_C04389g', 'orf19.3138']",4,4
