Cluster1	orf19.2123
Cluster4014	gene:KLLA0_F24442g
Cluster4015	orf19.2531
Cluster4016	orf19.2537
Cluster4017	gene-YPL079W
Cluster4017	gene:KLLA0_E23651g
Cluster4017	CAGL0M06523g
Cluster4017	gene-YBR191W
Cluster4017	orf19.840
Cluster4018	CAGL0L05984g
Cluster4019	gene:KLLA0_D15400g
Cluster4020	gene:KLLA0_F17457g
Cluster4020	gene-YMR127C
Cluster4020	CAGL0K03773g
Cluster4020	orf19.2087
Cluster4021	gene-YEL057C
Cluster4022	CAGL0L11264g
Cluster4023	CAGL0L11198g
Cluster4024	CAGL0F01859g
Cluster4025	CAGL0F01837g
Cluster4026	orf19.134
Cluster4027	CAGL0M14179r
Cluster4028	tK(UUU)5
Cluster4029	orf19.3954.1
Cluster4030	orf19.5258
Cluster4031	CAGL0K04719g
Cluster4032	gene:KLLA0_C00572g
Cluster4032	gene-YCL057W
Cluster4032	CAGL0B00418g
Cluster4032	orf19.434
Cluster4033	orf19.5648
Cluster4034	gene:KLLA0_D09328g
Cluster4034	CAGL0K02167g
Cluster4034	gene-YER129W
Cluster4034	orf19.3840
Cluster4035	orf19.5264
Cluster4036	CAGL0E02695g
Cluster4037	orf19.5256
Cluster4038	orf19.460
Cluster4038	gene-YBL016W
Cluster4038	gene:KLLA0_E10539g
Cluster4039	orf19.7652
Cluster4039	gene-YIL035C
Cluster4039	CAGL0I05192g
Cluster4039	gene:KLLA0_E04247g
Cluster4040	gene-YKL009W
Cluster4040	gene:KLLA0_B13563g
Cluster4040	orf19.5550
Cluster4041	orf19.2886
Cluster4041	gene:KLLA0_A02497g
Cluster4041	gene-YGR040W
Cluster4042	CAGL0A01892g
Cluster4043	orf19.5137
Cluster4044	orf19.3530
Cluster4044	gene-YOR061W
Cluster4044	gene:KLLA0_F16467g
Cluster4045	orf19.792
Cluster4045	gene-YMR139W
Cluster4045	gene:KLLA0_F17006g
Cluster4045	orf19.791
Cluster4045	gene-YDL079C
Cluster4046	orf19.2156
Cluster4047	CAGL0K06897g
Cluster4048	CAGL0H04609g
Cluster4049	CAGL0B03201g
Cluster4050	CAGL0H07491g
Cluster4051	CAGL0B01859g
Cluster4052	CAGL0J09746g
Cluster4053	CAGL0M03179g
Cluster4054	CAGL0H03091g
Cluster4055	CAGL0G05467g
Cluster4056	CAGL0M03069g
Cluster4057	orf19.665
Cluster4057	gene:KLLA0_C01914g
Cluster4057	gene-YLR186W
Cluster4057	CAGL0B00220g
Cluster4058	orf19.843
Cluster4058	gene:KLLA0_B13134g
Cluster4058	CAGL0B02761g
Cluster4058	gene-YLR361C
Cluster4059	gene-YCR095W-A
Cluster4060	gene:KLLA0_A00979g
Cluster4060	CAGL0C02013g
Cluster4060	gene-YFR045W
Cluster4060	orf19.5052
Cluster4061	CAGL0F09185g
Cluster4062	CAGL0C02475g
Cluster4063	gene-YNL158W
Cluster4063	gene:KLLA0_F27951g
Cluster4064	CAGL0I10989g
Cluster4065	orf19.5139
Cluster4066	gene-YGL098W
Cluster4067	CAGL0M10021g
Cluster4067	gene-YBR138C
Cluster4067	gene:KLLA0_C04455g
Cluster4068	gene-YAL027W
Cluster4068	CAGL0G06292g
Cluster4068	gene:KLLA0_A03960g
Cluster4069	CAGL0K08998g
Cluster4069	gene-YOR255W
Cluster4069	gene:KLLA0_C09779g
Cluster4070	orf19.5141
Cluster4071	orf19.5138
Cluster4072	CAGL0A02728g
Cluster4072	gene:KLLA0_E21231g
Cluster4073	CAGL0J07942g
Cluster4074	CAGL0J07854g
Cluster4075	CAGL0H04257g
Cluster4076	CAGL0E06490g
Cluster4077	gene-YNCA0003W
Cluster4078	CAGL0H04279g
Cluster4079	CAGL0D02728g
Cluster4080	CAGL0M05577g
Cluster4081	CAGL0J07964g
Cluster4082	CAGL0D02706g
Cluster4083	CAGL0I02882g
Cluster4084	CAGL0H04675g
Cluster4085	orf19.1162
Cluster4086	gene-YKL102C
Cluster4087	CAGL0G00902g
Cluster4088	CAGL0M05555r
Cluster4089	CAGL0G07491g
Cluster4090	CAGL0G06050g
Cluster4091	CAGL0M06347g
Cluster4092	CAGL0E02761g
Cluster4093	gene:KLLA0_D07524g
Cluster4094	gene-YDR261W-B
Cluster4095	CAGL0K07942g
Cluster4096	CAGL0C02585g
Cluster4097	CAGL0D04642g
Cluster4098	orf19.4639
Cluster4099	gene-YKL132C
Cluster4100	gene-YJL107C
Cluster4101	orf19.6671
Cluster4102	CAGL0M03531g
Cluster4103	CAGL0M03465g
Cluster4104	orf19.1707
Cluster4105	orf19.353
Cluster4106	gene-YNCP0006C
Cluster4107	orf19.3519
Cluster4108	orf19.816
Cluster4109	gene-YCL001W-B
Cluster4110	gene:KLLA0_F15642g
Cluster4110	CAGL0D03212g
Cluster4110	gene-YLR018C
Cluster4111	CAGL0D02310g
Cluster4111	gene-YOR354C
Cluster4111	gene:KLLA0_C13101g
Cluster4112	orf19.7561
Cluster4113	CAGL0A02948g
Cluster4114	orf19.1725
Cluster4115	gene-YJR136C
Cluster4115	CAGL0M00396g
Cluster4115	gene:KLLA0_B04026g
Cluster4116	snR8b
Cluster4117	gene:KLLA0_C12287g
Cluster4117	gene-YOL104C
Cluster4118	orf19.5077
Cluster4119	gene-YBR182C-A
Cluster4120	orf19.6348
Cluster4121	orf19.961.2
Cluster4121	gene:KLLA0_F19250g
Cluster4121	gene-YDR115W
Cluster4122	gene:KLLA0_A02673g
Cluster4122	gene-YLR355C
Cluster4122	orf19.88
Cluster4123	gene-YPL254W
Cluster4123	CAGL0H00616g
Cluster4123	gene:KLLA0_B10351g
Cluster4123	orf19.307
Cluster4124	orf19.3722
Cluster4124	gene:KLLA0_E08317g
Cluster4124	gene-YNL023C
Cluster4125	gene-YPL216W
Cluster4125	gene:KLLA0_B02090g
Cluster4125	CAGL0H09020g
Cluster4125	gene-YGL133W
Cluster4125	orf19.5510
Cluster4126	gene-YIL019W
Cluster4126	gene:KLLA0_D16137g
Cluster4126	orf19.1250
Cluster4127	gene:KLLA0_A11011g
Cluster4127	gene-YCR012W
Cluster4127	orf19.3651
Cluster4128	gene:KLLA0_E11375g
Cluster4128	gene-YBR101C
Cluster4128	orf19.3649
Cluster4129	gene:KLLA0_B06237g
Cluster4129	gene-YGR024C
Cluster4129	orf19.7063
Cluster4130	orf19.5005
Cluster4131	gene:KLLA0_F18810g
Cluster4131	gene-YDR051C
Cluster4131	orf19.6747
Cluster4132	gene-YKL045W
Cluster4132	gene:KLLA0_F04818g
Cluster4132	orf19.2885
Cluster4133	gene-YPL078C
Cluster4133	gene:KLLA0_E23563g
Cluster4133	orf19.3579
Cluster4134	gene:KLLA0_E23387g
Cluster4134	gene-YPL072W
Cluster4134	orf19.3661
Cluster4135	orf19.2334
Cluster4135	gene:KLLA0_E21737g
Cluster4135	CAGL0L11528g
Cluster4135	gene-YHR101C
Cluster4136	orf19.4907
Cluster4136	gene:KLLA0_C08866g
Cluster4136	gene-YCR061W
Cluster4136	CAGL0K09218g
Cluster4137	orf19.6317
Cluster4137	gene-YGR061C
Cluster4137	gene:KLLA0_B08063g
Cluster4138	orf19.4184
Cluster4138	gene:KLLA0_A05522g
Cluster4138	CAGL0F08063g
Cluster4138	gene-YHR161C
Cluster4138	gene-YGR241C
Cluster4139	orf19.7491
Cluster4139	gene-YLL002W
Cluster4139	gene:KLLA0_F12914g
Cluster4140	orf19.3150
Cluster4140	gene-YGL039W
Cluster4140	gene:KLLA0_D11000g
Cluster4141	gene:KLLA0_E21539g
Cluster4141	gene-YBR271W
Cluster4141	CAGL0I09438g
Cluster4141	orf19.5808
Cluster4142	gene-YOR176W
Cluster4142	gene:KLLA0_F20141g
Cluster4142	orf19.1880
Cluster4143	gene:KLLA0_C02167g
Cluster4143	gene-YNL274C
Cluster4143	orf19.2989
Cluster4144	orf19.4160
Cluster4144	CAGL0L07392g
Cluster4144	gene-YDL104C
Cluster4144	gene:KLLA0_D09911g
Cluster4145	gene-YGR049W
Cluster4145	CAGL0K04279g
Cluster4146	gene:KLLA0_A06303g
Cluster4146	gene-YJL178C
Cluster4146	orf19.5322
Cluster4147	orf19.1864
Cluster4147	gene:KLLA0_F14817g
Cluster4147	gene-YDR333C
Cluster4147	CAGL0M01232g
Cluster4148	gene-YBR044C
Cluster4148	gene:KLLA0_B06732g
Cluster4149	orf19.4589
Cluster4149	orf19.7323
Cluster4149	gene:KLLA0_E07789g
Cluster4149	gene-YMR020W
Cluster4150	orf19.3988
Cluster4151	RPR1
Cluster4152	gene-YNCC0014W
Cluster4152	gene-YNCO0013C
Cluster4152	CAGL0G01518r
Cluster4152	CAGL0K08778r
Cluster4153	CAGL0K07458g
Cluster4154	CAGL0L00517g
Cluster4155	CAGL0C00297g
Cluster4156	CAGL0D06710g
Cluster4157	CAGL0M04983g
Cluster4158	CAGL0H05841g
Cluster4159	gene-YNCN0004W
Cluster4160	CAGL0M04301g
Cluster4161	CAGL0M04587g
Cluster4162	gene:KLLA0_B11407g
Cluster4162	gene-YPR124W
Cluster4162	orf19.3646
Cluster4163	gene:KLLA0_E12673g
Cluster4163	gene-YDR315C
Cluster4163	CAGL0H07271g
Cluster4163	orf19.1439
Cluster4164	gene:KLLA0_C03091g
Cluster4164	gene-YNL244C
Cluster4164	orf19.1280
Cluster4165	gene:KLLA0_D19811g
Cluster4165	gene-YNL238W
Cluster4165	orf19.4755
Cluster4166	CAGL0L05588g
Cluster4166	gene-YJL126W
Cluster4166	gene:KLLA0_E15247g
Cluster4166	orf19.7279
Cluster4167	orf19.838.1
Cluster4167	CAGL0M06501g
Cluster4167	gene-YBR189W
Cluster4167	gene:KLLA0_E23673g
Cluster4168	gene-YGR217W
Cluster4168	gene:KLLA0_E16083g
Cluster4168	orf19.3298
Cluster4169	gene-YBL071W-A
Cluster4169	gene:KLLA0_E20439g
Cluster4169	orf19.6873.1
Cluster4170	gene-YKR051W
Cluster4170	gene:KLLA0_E15423g
Cluster4170	orf19.6981
Cluster4171	orf19.4597
Cluster4171	gene-YIL034C
Cluster4171	gene:KLLA0_E04225g
Cluster4172	CAGL0B00352g
Cluster4173	CAGL0D00858g
Cluster4173	gene-YDL061C
Cluster4173	gene:KLLA0_E05127g
Cluster4173	orf19.6415.1
Cluster4173	gene-YLR388W
Cluster4174	CAGL0G03971g
Cluster4174	gene-YLL029W
Cluster4174	gene:KLLA0_F18128g
Cluster4174	orf19.2095
Cluster4175	orf19.5066
Cluster4175	gene:KLLA0_A02079g
Cluster4175	gene-YDR412W
Cluster4176	gene-YLL014W
Cluster4176	gene:KLLA0_F15455g
Cluster4176	orf19.2698
Cluster4177	orf19.3686
Cluster4177	gene-YJL180C
Cluster4177	gene:KLLA0_A06259g
Cluster4178	orf19.7667
Cluster4178	CAGL0K10296g
Cluster4178	gene-YOR126C
Cluster4178	gene:KLLA0_E02509g
Cluster4179	orf19.1634
Cluster4179	gene:KLLA0_B05643g
Cluster4179	gene-YGR037C
Cluster4180	orf19.5058
Cluster4180	orf19.6972
Cluster4180	gene:KLLA0_E15775g
Cluster4180	gene-YGR229C
Cluster4180	CAGL0L06534g
Cluster4181	gene-YJR056C
Cluster4181	orf19.480
Cluster4182	orf19.3089
Cluster4182	gene-YDR185C
Cluster4183	orf19.1235
Cluster4183	gene-YER052C
Cluster4183	gene:KLLA0_F27599g
Cluster4184	CAGL0F00891g
Cluster4185	orf19.4133
Cluster4185	gene:KLLA0_C00913g
Cluster4185	gene-YDR527W
Cluster4186	gene:KLLA0_E04291g
Cluster4186	gene-YER046W
Cluster4186	orf19.6103
Cluster4187	orf19.4305
Cluster4188	orf19.7274
Cluster4189	orf19.4033
Cluster4189	gene-YER013W
Cluster4189	gene:KLLA0_B11638g
Cluster4190	gene:KLLA0_E12189g
Cluster4191	CAGL0F08217g
Cluster4192	orf19.6872
Cluster4192	gene-YLR126C
Cluster4193	orf19.2183
Cluster4193	gene-YER036C
Cluster4193	CAGL0C02343g
Cluster4193	gene:KLLA0_A01452g
Cluster4194	gene-YOR211C
Cluster4194	gene:KLLA0_D06721g
Cluster4194	orf19.2690
Cluster4195	orf19.5959
Cluster4195	gene-YDL148C
Cluster4195	CAGL0J08844g
Cluster4195	gene:KLLA0_C16335g
Cluster4196	gene-YGR158C
Cluster4196	orf19.168
Cluster4197	orf19.6674
Cluster4197	gene-YPL069C
Cluster4197	gene:KLLA0_E23299g
Cluster4198	orf19.4222
Cluster4198	gene-YLR452C
Cluster4198	CAGL0H00374g
Cluster4198	gene:KLLA0_D10549g
Cluster4199	CAGL0J04070g
Cluster4200	orf19.4681
Cluster4200	gene:KLLA0_F07469g
Cluster4200	gene-YOR048C
Cluster4200	CAGL0L10120g
Cluster4201	orf19.4031
Cluster4201	gene-YIR007W
Cluster4201	gene:KLLA0_B11704g
Cluster4202	gene:KLLA0_F25322g
Cluster4202	gene-YMR012W
Cluster4202	orf19.51
Cluster4203	CAGL0F08855g
Cluster4204	orf19.7275
Cluster4205	CAGL0M07001g
Cluster4206	orf19.6641
Cluster4207	gene-YMR255W
Cluster4208	gene-YER018C
Cluster4209	CAGL0D02684g
Cluster4210	CAGL0K10230g
Cluster4211	orf19.2513
Cluster4212	gene-YLR415C
Cluster4213	CAGL0F04961g
Cluster4214	orf19.3420
Cluster4215	CAGL0B02475g
Cluster4216	orf19.6637
Cluster4217	CAGL0H05687g
Cluster4218	orf19.2429
Cluster4219	CAGL0L07568g
Cluster4220	CAGL0F08525g
Cluster4221	CAGL0B03135r
Cluster4222	CAGL0L07590g
Cluster4223	gene-YNCI0009W
Cluster4224	orf19.2986
Cluster4225	orf19.4376
Cluster4226	snR75
Cluster4227	gene-YNL046W
Cluster4228	gene-YFR054C
Cluster4229	CAGL0M01892g
Cluster4229	gene-YBR076W
Cluster4230	CAGL0G05093g
Cluster4231	CAGL0G04983g
Cluster4232	CAGL0J08613g
Cluster4233	CAGL0J08635g
Cluster4234	CAGL0K06611r
Cluster4235	CAGL0H02035g
Cluster4236	gene-YLR190W
Cluster4237	gene-YNCD0030W
Cluster4238	CAGL0K03861g
Cluster4239	CAGL0J09350g
Cluster4239	gene-YDL126C
Cluster4239	gene:KLLA0_F05676g
Cluster4239	orf19.2340
Cluster4240	gene:KLLA0_B06523g
Cluster4240	gene-YKL197C
Cluster4240	CAGL0H09174g
Cluster4240	orf19.6460
Cluster4241	orf19.2859
Cluster4241	gene:KLLA0_E13047g
Cluster4241	gene-YKR092C
Cluster4241	CAGL0G02409g
Cluster4242	gene:KLLA0_C15895g
Cluster4242	gene-YPL235W
Cluster4242	orf19.6539
Cluster4243	orf19.1626
Cluster4243	gene:KLLA0_E12695g
Cluster4243	gene-YHR068W
Cluster4244	gene-YER061C
Cluster4244	gene:KLLA0_C08239g
Cluster4244	orf19.5977
Cluster4245	gene:KLLA0_D13508g
Cluster4245	gene-YER009W
Cluster4245	CAGL0H09658g
Cluster4245	orf19.4879.2
Cluster4246	gene-YGL048C
Cluster4246	gene:KLLA0_A04752g
Cluster4246	orf19.3593
Cluster4247	orf19.441
Cluster4247	gene:KLLA0_E13773g
Cluster4247	gene-YKL145W
Cluster4248	orf19.163
Cluster4248	gene-YIL145C
Cluster4248	gene:KLLA0_E12981g
Cluster4249	CAGL0M08052g
Cluster4250	CAGL0J10010g
Cluster4251	gene-YOR350C
Cluster4252	orf19.7102
Cluster4252	CAGL0K05819g
Cluster4252	gene-YDR514C
Cluster4252	gene:KLLA0_C01232g
Cluster4253	CAGL0K04598r
Cluster4254	gene:KLLA0_E20087g
Cluster4255	CAGL0M07986g
Cluster4256	CAGL0I09526g
Cluster4257	CAGL0K04213g
Cluster4258	gene-YPL144W
Cluster4259	CAGL0C00715g
Cluster4260	CAGL0C00693g
Cluster4261	CAGL0L03542g
Cluster4262	CAGL0M01628g
Cluster4263	orf19.4321
Cluster4264	orf19.1620
Cluster4265	orf19.1215
Cluster4266	orf19.1544
Cluster4267	gene-YNCP0026W
Cluster4268	CAGL0A03564g
Cluster4269	orf19.5680
Cluster4270	orf19.938
Cluster4271	orf19.3366
Cluster4271	gene-YDL212W
Cluster4271	gene:KLLA0_D08283g
Cluster4272	orf19.3359
Cluster4272	gene-YOR141C
Cluster4272	gene:KLLA0_E03213g
Cluster4273	CAGL0M13519g
Cluster4273	gene-YMR290C
Cluster4273	gene:KLLA0_A09669g
Cluster4273	orf19.3962
Cluster4274	gene:KLLA0_F22627g
Cluster4274	gene-YJL012C
Cluster4274	CAGL0G06952g
Cluster4274	orf19.3363
Cluster4275	orf19.7635
Cluster4275	gene:KLLA0_F15752g
Cluster4275	gene-YLL008W
Cluster4275	CAGL0D03124g
Cluster4276	gene:KLLA0_C15499g
Cluster4276	gene-YGL078C
Cluster4276	CAGL0H03377g
Cluster4276	orf19.4870
Cluster4277	CAGL0I02354g
Cluster4277	gene-YHR169W
Cluster4277	gene:KLLA0_A05203g
Cluster4277	orf19.6652
Cluster4278	gene-YPL283C
Cluster4278	orf19.5469
Cluster4279	orf19.2488
Cluster4279	gene:KLLA0_A10659g
Cluster4279	CAGL0M06567g
Cluster4279	gene-YDR021W
Cluster4280	orf19.7546
Cluster4280	gene-YHR065C
Cluster4280	CAGL0J10912g
Cluster4280	gene:KLLA0_C14608g
Cluster4281	gene:KLLA0_E16149g
Cluster4282	gene:KLLA0_F14344g
Cluster4283	orf19.6369
Cluster4283	gene-YNL207W
Cluster4283	gene:KLLA0_D19008g
Cluster4284	CAGL0C04048g
Cluster4285	orf19.2611
Cluster4285	gene-YGL201C
Cluster4285	gene:KLLA0_F10087g
Cluster4286	gene:KLLA0_B09504g
Cluster4286	CAGL0D01496g
Cluster4286	gene-YPR067W
Cluster4286	orf19.6811
Cluster4287	gene-YPL243W
Cluster4287	gene:KLLA0_D12870g
Cluster4287	orf19.6804
Cluster4288	orf19.6803
Cluster4288	gene:KLLA0_D12848g
Cluster4288	CAGL0H00847g
Cluster4288	gene-YPL244C
Cluster4289	orf19.1941
Cluster4289	CAGL0J11572g
Cluster4289	gene-YOL069W
Cluster4289	gene:KLLA0_F22451g
Cluster4290	orf19.6692
Cluster4291	CAGL0H08173g
Cluster4292	orf19.6373
Cluster4292	gene:KLLA0_F23980g
Cluster4292	gene-YNL118C
Cluster4293	orf19.637
Cluster4293	gene:KLLA0_E00683g
Cluster4293	CAGL0E03850g
Cluster4293	gene-YLL041C
Cluster4294	orf19.6058
Cluster4294	gene:KLLA0_F06226g
Cluster4294	CAGL0L07656g
Cluster4294	gene-YML004C
Cluster4295	orf19.2304
Cluster4295	CAGL0L08492g
Cluster4295	gene-YPR148C
Cluster4295	gene:KLLA0_E04621g
Cluster4296	orf19.7409
Cluster4296	gene:KLLA0_B00935g
Cluster4296	gene-YML012W
Cluster4297	orf19.4626
Cluster4297	gene:KLLA0_C12793g
Cluster4297	CAGL0M07425g
Cluster4297	gene-YMR028W
Cluster4298	gene:KLLA0_D06380g
Cluster4298	gene-YBR287W
Cluster4298	orf19.733
Cluster4299	gene:KLLA0_C10483g
Cluster4299	CAGL0H01331g
Cluster4299	gene-YDR295C
Cluster4299	orf19.6952
Cluster4300	gene:KLLA0_F08921g
Cluster4300	gene-YLR058C
Cluster4300	orf19.5750
Cluster4301	gene-YBR263W
Cluster4301	gene:KLLA0_F01210g
Cluster4301	orf19.1342
Cluster4302	gene:KLLA0_F00616g
Cluster4303	orf19.7344
Cluster4303	gene-YPR179C
Cluster4303	gene:KLLA0_E04841g
Cluster4304	orf19.4262
Cluster4304	gene-YJR091C
Cluster4304	gene:KLLA0_E06029g
Cluster4304	gene-YPR042C
Cluster4305	CAGL0M05203g
Cluster4306	orf19.7112
Cluster4307	orf19.6390
Cluster4308	gene:KLLA0_E09945g
Cluster4309	CAGL0M03839g
Cluster4310	gene-YCL058W-A
Cluster4311	CAGL0H09526g
Cluster4312	CaalfMt38
Cluster4313	CaalfMt39
Cluster4314	CaalfMt35
Cluster4315	orf19.4751.1
Cluster4316	CAGL0M09515g
Cluster4317	gene-YNCM0012W
Cluster4318	CAGL0I07073g
Cluster4319	orf19.3115
Cluster4320	CAGL0H09482g
Cluster4321	orf19.5541
Cluster4321	gene:KLLA0_E19031g
Cluster4321	gene-YPL184C
Cluster4321	CAGL0C01419g
Cluster4322	CAGL0M09427g
Cluster4323	orf19.1090
Cluster4324	orf19.2289
Cluster4324	gene:KLLA0_B13904g
Cluster4324	CAGL0F00517g
Cluster4324	gene-YJR065C
Cluster4325	orf19.1581
Cluster4326	orf19.4391
Cluster4327	gene-YPR111W
Cluster4327	CAGL0G03047g
Cluster4327	gene:KLLA0_D14905g
Cluster4328	gene-YML100W
Cluster4329	CAGL0J10890g
Cluster4330	gene:KLLA0_F24376g
Cluster4330	gene-YNL131W
Cluster4330	orf19.3696
Cluster4331	gene-YNL127W
Cluster4331	gene:KLLA0_F24244g
Cluster4331	orf19.3697
Cluster4332	gene-YGR066C
Cluster4333	gene:KLLA0_A10329g
Cluster4334	gene:KLLA0_E21979g
Cluster4334	gene-YDL083C
Cluster4334	CAGL0I00792g
Cluster4335	orf19.3432
Cluster4336	orf19.5181
Cluster4337	gene:KLLA0_A06820g
Cluster4337	gene-YKL168C
Cluster4338	CAGL0G01716g
Cluster4338	gene-YPR106W
Cluster4339	orf19.5843
Cluster4340	gene-YDL214C
Cluster4341	orf19.1502
Cluster4342	gene:KLLA0_F01276g
Cluster4342	gene-YBR274W
Cluster4343	orf19.35
Cluster4344	gene:KLLA0_D17380g
Cluster4345	gene:KLLA0_B07689g
Cluster4345	gene-YJL193W
Cluster4346	gene:KLLA0_A12089g
Cluster4347	CAGL0K04301g
Cluster4347	gene-YGR052W
Cluster4347	gene:KLLA0_A02717g
Cluster4348	orf19.4943
Cluster4349	orf19.4698
Cluster4350	orf19.673
Cluster4351	gene-YKR078W
Cluster4352	gene:KLLA0_B09526g
Cluster4352	gene-YPR066W
Cluster4352	orf19.4209
Cluster4353	gene-YOR338W
Cluster4353	gene:KLLA0_F02365g
Cluster4353	gene-YAL034C
Cluster4353	orf19.1363
Cluster4354	gene-YBL057C
Cluster4354	gene:KLLA0_E20021g
Cluster4354	orf19.2544
Cluster4355	CAGL0I01144g
Cluster4356	gene:KLLA0_D12980g
Cluster4356	gene-YDR321W
Cluster4357	gene-YIL173W
Cluster4358	orf19.6716
Cluster4358	gene:KLLA0_F10527g
Cluster4358	gene-YBR236C
Cluster4359	orf19.6562
Cluster4359	gene:KLLA0_F04774g
Cluster4359	CAGL0J10208g
Cluster4359	gene-YNL072W
Cluster4360	orf19.943
Cluster4361	orf19.4211
Cluster4362	gene:KLLA0_E10517g
Cluster4362	gene-YNR065C
Cluster4363	orf19.6713
Cluster4364	gene-YDR099W
Cluster4365	gene-YMR253C
Cluster4366	orf19.4212
Cluster4367	CAGL0A02629g
Cluster4367	gene-YHR108W
Cluster4368	orf19.5428
Cluster4368	gene-YOR079C
Cluster4368	gene:KLLA0_A07601g
Cluster4369	gene-YGL056C
Cluster4369	CAGL0K06699g
Cluster4369	orf19.5118
Cluster4370	orf19.7018
Cluster4370	gene-YML026C
Cluster4370	gene:KLLA0_B01562g
Cluster4371	orf19.1938
Cluster4372	orf19.2994
Cluster4372	gene-YDL082W
Cluster4373	orf19.2211
Cluster4373	gene-YGL138C
Cluster4373	gene:KLLA0_B01936g
Cluster4374	orf19.2794
Cluster4374	gene:KLLA0_B12265g
Cluster4374	gene-YBL036C
Cluster4374	CAGL0F04367g
Cluster4375	CAGL0I07711g
Cluster4376	gene-YOL038C-A
Cluster4377	gene:KLLA0_D02332g
Cluster4378	gene:KLLA0_B12980g
Cluster4378	orf19.4789
Cluster4378	orf19.6679
Cluster4379	orf19.1650
Cluster4379	gene-YOR045W
Cluster4379	CAGL0L10015g
Cluster4379	CAGL0L09999g
Cluster4379	gene:KLLA0_F15961g
Cluster4380	gene-YHR216W
Cluster4381	gene:KLLA0_B05511g
Cluster4381	gene-YLR432W
Cluster4382	gene-YFL059W
Cluster4382	gene:KLLA0_A00374g
Cluster4383	CAGL0H03993g
Cluster4383	gene-YCR005C
Cluster4383	gene:KLLA0_F12760g
Cluster4384	CaalfMt24
Cluster4385	orf19.7250
Cluster4386	orf19.3710
Cluster4387	orf19.7637
Cluster4388	gene-YPR104C
Cluster4388	CAGL0G08866g
Cluster4388	gene:KLLA0_F08206g
Cluster4389	gene-YMR096W
Cluster4390	CAGL0J00979r
Cluster4390	gene-YNCD0019C
Cluster4391	CAGL0C04521r
Cluster4392	orf19.1481
Cluster4393	gene-YDR123C
Cluster4393	CAGL0B01947g
Cluster4393	gene:KLLA0_F19558g
Cluster4394	gene-YAR068W
Cluster4395	gene:KLLA0_D08558g
Cluster4396	CAGL0E00979g
Cluster4397	gene-YAR066W
Cluster4398	orf19.5502
Cluster4399	CAGL0C05291g
Cluster4400	CAGL0I06336g
Cluster4401	gene-YGL260W
Cluster4402	CAGL0C00649g
Cluster4403	CAGL0C00671g
Cluster4404	gene:KLLA0_C00957g
Cluster4405	orf19.2639
Cluster4406	CAGL0L02497g
Cluster4407	CAGL0M09889g
Cluster4408	CAGL0M11418g
Cluster4409	orf19.7443
Cluster4410	CAGL0M11330g
Cluster4411	CAGL0J09636g
Cluster4412	gene-YMR316C-A
Cluster4413	gene:KLLA0_F20460g
Cluster4414	CAGL0H02563g
Cluster4415	CAGL0M03003g
Cluster4416	gene-YJR094C
Cluster4416	CAGL0M09042g
Cluster4416	gene:KLLA0_E05963g
Cluster4417	gene-YBL031W
Cluster4417	gene:KLLA0_E12343g
Cluster4418	CAGL0M05709g
Cluster4419	CAGL0K10274g
Cluster4420	orf19.590
Cluster4421	snR31a
Cluster4422	orf19.7151
Cluster4423	CAGL0M05643g
Cluster4424	gene-YCR104W
Cluster4425	gene:KLLA0_E11441g
Cluster4425	gene-YHL025W
Cluster4426	gene-YMR325W
Cluster4427	CAGL0M05665g
Cluster4428	CAGL0J08459g
Cluster4429	snR32a
Cluster4430	gene-YNR076W
Cluster4431	gene:KLLA0_B01221g
Cluster4432	CAGL0M00704g
Cluster4433	CAGL0F02013g
Cluster4434	gene-YNCA0004W
Cluster4434	CAGL0A03520r
Cluster4434	CAGL0G00770r
Cluster4435	orf19.2475
Cluster4436	orf19.1580
Cluster4437	CAGL0G01881g
Cluster4438	CAGL0K10868g
Cluster4439	orf19.3894
Cluster4440	orf19.6431
Cluster4441	CAGL0J03520g
Cluster4442	orf19.6855
Cluster4443	gene-YGL088W
Cluster4444	CAGL0L10428g
Cluster4445	CAGL0A04125g
Cluster4446	orf19.1873
Cluster4447	CAGL0E02387g
Cluster4448	CAGL0A04169g
Cluster4449	CAGL0I09350g
Cluster4450	CAGL0K07436g
Cluster4451	CAGL0L10406g
Cluster4452	CAGL0F07172g
Cluster4453	CAGL0K01001g
Cluster4454	CAGL0A04587g
Cluster4455	gene-YBL008W
Cluster4455	gene:KLLA0_A04928g
Cluster4455	orf19.2099
Cluster4456	gene:KLLA0_B10076g
Cluster4457	gene:KLLA0_D00660g
Cluster4458	CAGL0H08976g
Cluster4459	CAGL0L01067g
Cluster4460	CAGL0B02739g
Cluster4461	gene-YGL015C
Cluster4462	CAGL0G03355g
Cluster4463	CAGL0M02959g
Cluster4464	CAGL0H08778g
Cluster4465	CAGL0M02805g
Cluster4466	CAGL0H10186g
Cluster4467	CAGL0H10208g
Cluster4468	gene-YJL049W
Cluster4468	gene:KLLA0_F01320g
Cluster4468	orf19.746
Cluster4469	orf19.5533
Cluster4469	gene:KLLA0_D10263g
Cluster4469	gene-YML097C
Cluster4470	orf19.3417
Cluster4470	gene-YLR144C
Cluster4470	gene:KLLA0_D17050g
Cluster4471	orf19.3066
Cluster4471	gene-YNR067C
Cluster4471	gene:KLLA0_F11704g
Cluster4472	orf19.6040
Cluster4472	gene-YLR025W
